iter	Logloss
0	0.5943766998
1	0.5256051428
2	0.469428313
3	0.4157650332
4	0.3770538086
5	0.3434259346
6	0.3140859878
7	0.2954521257
8	0.2753509451
9	0.2607811897
10	0.2484872561
11	0.2393270402
12	0.2309519745
13	0.2234407206
14	0.2176433497
15	0.2127974088
16	0.2081490578
17	0.2042773834
18	0.2015723836
19	0.1986179587
20	0.1966116047
21	0.1947418571
22	0.1928497641
23	0.1913573686
24	0.1899504558
25	0.1885770919
26	0.1873171788
27	0.1864096328
28	0.1857234382
29	0.1848137496
30	0.184006159
31	0.1833468975
32	0.1827606155
33	0.1824490211
34	0.1820523737
35	0.1816120176
36	0.1812752699
37	0.1810624837
38	0.180861296
39	0.1806625349
40	0.1803814689
41	0.1801148435
42	0.1798897853
43	0.1796166314
44	0.1794395164
45	0.1791905458
46	0.1789207648
47	0.1787167014
48	0.1785462217
49	0.1783838662
50	0.1782344422
51	0.1780559701
52	0.1779443827
53	0.1778584432
54	0.1777883377
55	0.1776985033
56	0.1776112213
57	0.1775212449
58	0.1774262165
59	0.1773336305
60	0.177250857
61	0.1771780226
62	0.1771008144
63	0.1770137348
64	0.1769405977
65	0.1768627456
66	0.1767826758
67	0.1766841498
68	0.1766238137
69	0.1765368795
70	0.1764489506
71	0.1763667936
72	0.1762980968
73	0.176229496
74	0.1761767478
75	0.1761475912
76	0.1760784794
77	0.1759886582
78	0.1759326409
79	0.1758854016
80	0.1758116322
81	0.1757762297
82	0.1757239528
83	0.1756538021
84	0.1756002567
85	0.1755218108
86	0.1754919234
87	0.1754525007
88	0.1754186029
89	0.175394548
90	0.175368949
91	0.1753232234
92	0.17528555
93	0.1752534193
94	0.175219367
95	0.1751695325
96	0.1751230363
97	0.1750735769
98	0.1750117823
99	0.1749567772
100	0.1748844724
101	0.1748549092
102	0.1747758989
103	0.174694072
104	0.1746473372
105	0.17458886
106	0.1745550256
107	0.1745253852
108	0.1744845503
109	0.1744549444
110	0.1744270094
111	0.1744057888
112	0.1743639908
113	0.174360081
